,id,text,created_at,xenoblade chronicles,retweet_count,reply_count,like_count,quote_count,polarity
1844,1601370456652943360,How could they NOT give the best music award to xenoblade chronicles  preposterous ,2022-12-10T00:17:23.000Z,1.0,0,1,0,0,1.0
2011,1601360837289316352,Nintendo had a bigger presence at than I thought they would A Xenoblade Chronicles Music Performance  The Super Mario Bros  Movie Trailer   The announcement of Bayonetta Origins  Cereza and the Lost Demon  Nintendo won AWARDS ,2022-12-09T23:39:10.000Z,1.0,1,1,37,0,0.16666666666666666
2201,1601350419942240256,Elden Ring may have taken the cake at yesterday  but check out some of our picks for Game of the Year here at Wonacott Monica  Brooke and Sophie  Stray Riley  Xenoblade Chronicles Alyssa  Splatoon,2022-12-09T22:57:46.000Z,1.0,0,0,1,0,-0.4
3330,1601303277484019712,How did Xenoblade Chronicles not win best score and soundtrack ,2022-12-09T19:50:26.000Z,1.0,0,0,0,0,0.3
4369,1601275299022671872,Xenoblade Chronicles is the real best game of the year,2022-12-09T17:59:16.000Z,1.0,0,0,4,0,0.3
5909,1601238626813124608,When the orchestrated music played  Xenoblade Chronicles music stood out being so much better than the rest  I really think that  once again  needs their hearing checked for best music ,2022-12-09T15:33:32.000Z,1.0,0,0,1,0,0.5666666666666667
6304,1601230214251831298,Xenoblade Chronicles did not win any awards at   The fact it was nominated for multiple awards and Game of the Year is a huge achievement for the Xenoblade franchise  There even was this rad Xenoblade Chronicles performance ,2022-12-09T15:00:07.000Z,2.0,3,2,56,1,-0.09999999999999999
6408,1601228713915736065,Shout out to the guy on the flute during   He absolutely killed it with that Xenoblade Chronicles moment aaa,2022-12-09T14:54:09.000Z,1.0,0,0,3,0,-0.2
7473,1601209413141831682,Xenoblade Chronicles   You may not have won any awards at but Im so proud of this little franchise for being nominated on the biggest stage  The series has come so far  Im extremely happy that you finally got deserved recognition  Youve made us fans all proud,2022-12-09T13:37:27.000Z,1.0,3,0,8,0,0.3854166666666667
7840,1601201369066524672,As I thought  turned into a God of War lovefest and frankly robbed other more deserving games of their awards such as Xenoblade Chronicles for best soundtrack  I m glad I didn t watch Also  WTF was up with that InfoWars Bill Clinton kid ,2022-12-09T13:05:29.000Z,1.0,1,3,5,0,0.28214285714285714
8627,1601184855462940673,Flute Guy trending during because a segment of a Xenoblade Chronicles song  while Xenoblade Chronicles getting robbed of the Soundtrack and Music category is one of the most ironic moments of the show ,2022-12-09T11:59:52.000Z,2.0,2,0,14,1,0.35
10588,1601143146217250816,Elden Ring foi eleito o GOTY de   superando nomes como GOW  Ragnarok  Horizon Forbidden West  Stray  A Plague Tale  Requiem e Xenoblade Chronicles  ,2022-12-09T09:14:08.000Z,1.0,0,0,0,0,0.0
11085,1601134405833015297,From Nintendos IG story of the Xenoblade Chronicles segment from the orchestra performance,2022-12-09T08:39:24.000Z,1.0,0,0,2,0,0.0
12180,1601111262229778435,Flute Guy is how you know Xenoblade Chronicles should of won Best Score at lol,2022-12-09T07:07:26.000Z,1.0,6,2,60,0,0.9
12236,1601110439978766337,I m going to bed happy knowing that Xenoblade Chronicles didn t win a damn thing tonight ,2022-12-09T07:04:10.000Z,1.0,0,0,0,0,0.8
12696,1601104238800773120,Congratulations to Elden Ring for winning Game of the YearSpecial mention to God of War Ragnarok  Genshin Impact  Stray  Horizon Forbidden West  Xenoblade Chronicles  and A Plague Tale  Requiem Visit our website ,2022-12-09T06:39:32.000Z,1.0,0,0,0,0,0.04999999999999999
12976,1601101308076883968,Congrats to Eldin Ring for winning Game of the YearSpecial mention to God of War Ragnarok  Genshin Impact  Stray  Horizon Forbidden West  Xenoblade Chronicles  and A Plague Tale  Requiem Our website ,2022-12-09T06:27:53.000Z,1.0,0,0,0,0,0.04999999999999999
14652,1601084601635844096,Xenoblade Chronicles not winning Best RPG at is a crime ,2022-12-09T05:21:30.000Z,1.0,2,1,25,0,0.375
15496,1601079043243544576,IT S NOT FAIR        XENOBLADE CHRONICLES SHOULD VE WON            I HATE ELDEN RING         I HATE IT FOREVER                   ,2022-12-09T04:59:25.000Z,1.0,0,0,0,0,-0.65
15966,1601076939057340417,I was hoping that Xenoblade Chronicles will win GOTY But Elden Ring will win GOTY But who even expected Bill Clinton of all  nominations       ,2022-12-09T04:51:03.000Z,1.0,0,0,0,0,0.5
16182,1601076076293214208,At the end of the day  is not the be all end all arbiter of video game quality  Enjoy the games you think are the best Like me with Xenoblade Chronicles   which is my personal GOTY of  ,2022-12-09T04:47:37.000Z,1.0,0,0,0,0,0.25
16231,1601075906994671616,Glad Bayonetta got recognition at but Xenoblade Chronicles got absolutely snubbed of any award  Also Elden Ring deserved it s GOTY award,2022-12-09T04:46:57.000Z,1.0,0,0,0,0,0.35
16321,1601075569764216832,Mario   Rabbids Sparks of Hope  The Legend of Zelda  Tears of the Kingdom  Splatoon   Kirby and the Forgotten Land  and Bayonetta all won awards today  Not bad  Nintendo  Not bad at all Shame about Xenoblade Chronicles and Pokmon Legends  Arceus though ,2022-12-09T04:45:37.000Z,1.0,1,0,1,0,0.3499999999999999
17077,1601073110194614272,Xenoblade Chronicles didn t win any awards at tonight  unsurprisingly   but I ll give it one more nod on my  wrapped  list for the year  Really don t know how it didn t win Best Score ,2022-12-09T04:35:50.000Z,1.0,0,0,2,0,0.6599999999999999
18187,1601070646033010689,Hey fans  if you liked the flute guys performance tonight then I am glad to share that there is a whole game filled with amazing flute music  And that game is of course Xenoblade Chronicles by,2022-12-09T04:26:03.000Z,1.0,1,0,3,0,0.21428571428571427
18552,1601069888767873024,Xenoblade Chronicles fans tonight ,2022-12-09T04:23:02.000Z,1.0,1,1,5,0,0.0
18716,1601069610169688065,Xenoblade Chronicles lost best music to fuckin God of War  it was ROBBED,2022-12-09T04:21:56.000Z,1.0,0,0,2,0,1.0
18744,1601069549259931648,Most nominated games without a win at The Game Awards 7 noms Horizon Forbidden West 5 A Plague Tale  Requiem 3 Apex LegendsCall of Duty  Modern Warfare IIImmortalitySifuNeon WhiteTunicXenoblade Chronicles,2022-12-09T04:21:41.000Z,1.0,1,0,0,0,0.275
20194,1601067337959886848,Xenoblade Chronicles winning zero awards during is infuriating  but expected ,2022-12-09T04:12:54.000Z,1.0,0,0,1,0,-0.06666666666666667
20251,1601067268653273088,congratulations to all winners   even though xenoblade chronicles didnt win anything  im still lucky to give this game a chance and im still happy that its at least nominated ,2022-12-09T04:12:37.000Z,1.0,0,0,2,0,0.24666666666666665
20730,1601066742029385728,If anyones on the Twitter timeline post and saw the flute player going ape shit during the Xenoblade Chronicles segment  yes that is how the game feels so you should try it,2022-12-09T04:10:32.000Z,1.0,2,1,10,0,-0.30000000000000004
21411,1601066092167716864,Both Elden Ring and Xenoblade Chronicles were my choice for GotY  so I m happy to see the former actually won at,2022-12-09T04:07:57.000Z,1.0,0,0,0,0,0.26666666666666666
21412,1601066091706724352,Xenoblade Chronicles is the best game of the year it got robbed,2022-12-09T04:07:57.000Z,1.0,0,1,3,0,0.3
21868,1601065760356388865,JUSTICE FOR HORIZON FORBIDDEN WEST AND XENOBLADE CHRONICLES    ,2022-12-09T04:06:38.000Z,1.0,0,0,1,0,0.0
22289,1601065490851721217,So sad Xenoblade Chronicles didn t win anything at   Not that this came unexpected  but nevertheless ,2022-12-09T04:05:34.000Z,1.0,0,0,0,0,0.13333333333333333
22332,1601065465605824513,Why didn t Xenoblade Chronicles win anything Why was Harry McEntire not nominated for best performance Who was the kid and why did he dedicate the GOTY to his reformed orthodox rabbi  former president Bill Clinton Is he Jozef s son Many questions   ,2022-12-09T04:05:28.000Z,1.0,0,0,1,0,0.42000000000000004
23349,1601064872724541441,Game of the Year award goes to    Elden Ring  Xenoblade Chronicles should have freakin  won  Did naughty someone jump in  amp  ruined while said nominate for Bill Clinton  That was good presentation  Geoff Knightley did a great job  See ya next year fellas ,2022-12-09T04:03:06.000Z,1.0,0,1,0,0,0.19
23773,1601064657435123712,Both Sonic Frontiers and Xenoblade Chronicles got robbed of a SINGLE nomination Im salty as hell lol ,2022-12-09T04:02:15.000Z,1.0,0,0,4,0,0.3642857142857143
23837,1601064625197326341,Hearing Weight of Life from the Xenoblade Chronicles Soundtrack during the GOTY medley was amazing  It got robbed tonight  fully expected it not to win GOTY  But not to win either Best RPG or Score Either  What on earth ,2022-12-09T04:02:07.000Z,1.0,0,0,0,0,0.6200000000000001
23890,1601064606188773377,For Xenoblade Chronicles to be nominated for the its a win in my book  Congrats to the ones that won ,2022-12-09T04:02:03.000Z,1.0,1,0,2,0,0.8
25094,1601064123693137922,This musician was going all in for Xenoblade Chronicles music section Thank you for you and the orchestra performance ,2022-12-09T04:00:08.000Z,1.0,79,4,428,3,0.0
25178,1601064097973342208,At least Kirby and Splatoon won the I genuinely cant be happy abt Bayonetta winning unfortunately  But Sonic and Xenoblade Chronicles were robbed,2022-12-09T04:00:01.000Z,1.0,0,0,0,0,0.18000000000000002
25667,1601063955702562817,And that s that A weird for me I feel sad Xenoblade Chronicles didn t win anything when it has been prob the best so far Ff16 trailer and Elden Ring winning Goty is good tho  Nothing else stands for me tho Good night  ,2022-12-09T03:59:28.000Z,1.0,0,0,3,0,0.35
26118,1601063817324072960,Really wish Xenoblade Chronicles had won  even though I knew the odds were slim sadly  Overrated though it way  it s always a joy seeing Sony and their garbage movie games getting shut out of the awards circuit a la Horizin Zero Awards ,2022-12-09T03:58:55.000Z,1.0,0,1,1,0,0.16666666666666666
26332,1601063699825184771,Xenoblade Chronicles is better than Elden Ring in literally every way  Period,2022-12-09T03:58:27.000Z,1.0,0,4,10,1,0.5
26663,1601063542802632708,After God of War taking half the fucking awards Im so glad it didnt win  Wouldve been infinitely happier if Xenoblade Chronicles won like it did for my personal GOTY but eh,2022-12-09T03:57:49.000Z,1.0,0,0,2,0,0.10666666666666669
26790,1601063485072322561,Really glad Elden Ring won  Personally both that and Xenoblade Chronicles were masterpieces this year and Elden Ring deserves it s GOTY award  I may have nudged Xenoblade better but personally but both masterpieces of the genre ,2022-12-09T03:57:35.000Z,1.0,0,0,0,0,0.25
26838,1601063464143040512,Xenoblade Chronicles will always be my GOTY   but I m happy that Elden Ring won  Elden Ring deserves it for being amazing and well designed ,2022-12-09T03:57:30.000Z,1.0,0,0,1,0,0.7000000000000001
27082,1601063363634946049,Some shots of the orchestra featuring Xenoblade Chronicles   Stray  Elden Ring  amp  God of War  Ragnarok ,2022-12-09T03:57:06.000Z,1.0,0,0,1,0,0.0
27273,1601063312740929536,While it didn t win a single award  I am BEYOND happy Xenoblade Chronicles was at least nominated in categories  It was my personal GOTY and it s very special to me,2022-12-09T03:56:54.000Z,1.0,0,0,2,0,0.2821428571428572
27755,1601063180158918656,Xenoblade Chronicles didn t win a single award at,2022-12-09T03:56:23.000Z,1.0,4,4,37,0,0.3642857142857143
28684,1601063000634368000,Elden Ring and Xenoblade Chronicles were my GOTYs,2022-12-09T03:55:40.000Z,1.0,4,0,8,0,0.0
